iter	RMSE
0	66198.4284
1	64492.28388
2	62623.17587
3	60750.15754
4	58968.61374
5	57324.71668
6	55770.72719
7	54385.04169
8	53020.433
9	51689.22825
10	50387.85778
11	49107.49232
12	47904.25361
13	46762.28666
14	45704.75958
15	44506.28866
16	43496.51718
17	42483.93067
18	41684.87578
19	40782.77012
20	39995.13397
21	39139.53722
22	38435.9338
23	37695.21086
24	36900.13466
25	36136.55148
26	35467.57956
27	34811.56017
28	34210.9232
29	33713.51822
30	33177.97636
31	32611.4039
32	32039.39212
33	31505.97068
34	31016.14677
35	30533.17076
36	30105.28114
37	29717.23872
38	29274.8935
39	28881.58272
40	28499.04904
41	28158.80419
42	27803.74094
43	27465.43074
44	27169.19418
45	26843.16585
46	26564.76545
47	26263.90514
48	25978.11419
49	25706.01989
50	25430.59564
51	25155.43763
52	24895.40101
53	24657.68173
54	24460.96074
55	24229.56972
56	24039.86179
57	23834.38487
58	23635.92182
59	23436.4851
60	23246.90092
61	23046.72169
62	22866.68888
63	22682.89415
64	22538.8953
65	22394.46255
66	22235.55458
67	22085.26431
68	21948.60464
69	21810.35803
70	21694.24661
71	21532.64763
72	21415.87653
73	21300.43707
74	21147.78845
75	21016.57368
76	20901.53081
77	20777.35215
78	20669.25002
79	20579.60647
80	20487.55565
81	20384.21399
82	20287.06601
83	20205.67645
84	20118.66543
85	20016.98085
86	19921.8132
87	19829.65065
88	19738.74641
89	19659.22688
90	19563.42948
91	19501.92238
92	19437.49459
93	19323.76994
94	19251.14593
95	19184.82795
96	19115.89149
97	19053.84255
98	18988.07606
99	18898.88208
100	18817.33588
101	18769.8266
102	18701.82994
103	18623.7091
104	18562.67061
105	18483.95667
106	18411.57726
107	18348.85138
108	18300.00986
109	18242.83387
110	18199.11187
111	18138.97143
112	18070.00784
113	18034.95952
114	17979.62847
115	17901.36114
116	17857.30803
117	17814.00827
118	17762.31516
119	17717.52729
120	17661.36311
121	17617.62593
122	17565.12584
123	17508.27083
124	17463.32407
125	17399.80029
126	17354.5274
127	17307.63687
128	17259.63812
129	17222.88641
130	17191.92551
131	17150.07406
132	17127.76339
133	17071.96225
134	17034.14726
135	16999.62501
136	16957.68568
137	16930.71841
138	16885.98716
139	16847.08504
140	16812.2872
141	16765.80952
142	16739.11078
143	16697.43824
144	16641.65895
145	16602.51355
146	16540.13988
147	16509.46387
148	16471.25128
149	16435.3353
150	16406.3283
151	16383.06951
152	16344.21955
153	16305.20477
154	16272.7006
155	16213.86918
156	16161.77812
157	16124.52716
158	16097.2847
159	16043.15537
160	16010.96828
161	15978.46997
162	15941.49572
163	15909.92762
164	15875.89157
165	15851.04104
166	15801.08872
167	15763.45971
168	15713.08747
169	15675.79041
170	15648.92146
171	15622.12209
172	15591.5408
173	15566.85314
174	15534.60278
175	15497.78513
176	15467.50586
177	15445.77869
178	15416.6181
179	15381.08601
180	15352.75459
181	15322.39638
182	15294.20419
183	15254.38327
184	15207.9002
185	15193.55958
186	15160.00665
187	15125.30671
188	15100.65422
189	15045.29643
190	15006.16044
191	14983.50243
192	14962.11824
193	14933.74008
194	14908.72276
195	14863.13679
196	14836.7676
197	14816.23412
198	14792.40834
199	14767.59852
200	14730.32445
201	14702.72938
202	14678.44572
203	14645.76194
204	14626.45018
205	14608.69502
206	14583.00857
207	14552.24592
208	14516.19207
209	14487.23927
210	14446.89891
211	14411.64653
212	14382.41091
213	14346.85475
214	14322.36295
215	14288.18845
216	14244.8652
217	14205.03943
218	14182.1709
219	14146.8838
220	14112.10882
221	14091.19289
222	14062.84042
223	14043.24897
224	14017.80264
225	14000.53471
226	13971.34967
227	13947.13844
228	13920.30617
229	13881.68309
230	13855.62503
231	13831.26007
232	13798.51541
233	13775.13093
234	13766.34067
235	13745.16014
236	13708.15643
237	13674.53331
238	13638.42218
239	13612.11076
240	13589.64427
241	13561.75799
242	13538.85588
243	13517.8962
244	13489.92765
245	13460.14302
246	13430.70021
247	13407.2769
248	13360.19159
249	13332.05575
250	13300.8819
251	13272.60414
252	13249.31113
253	13226.64182
254	13208.79065
255	13177.41575
256	13146.05679
257	13118.73415
258	13104.90417
259	13080.36746
260	13049.54976
261	13026.03184
262	12998.52174
263	12970.39578
264	12949.62002
265	12937.38675
266	12916.01858
267	12891.71089
268	12865.23589
269	12840.33001
270	12823.4256
271	12804.72963
272	12786.32574
273	12764.46661
274	12740.83371
275	12718.87496
276	12679.8483
277	12653.9297
278	12634.38698
279	12613.19881
280	12593.37877
281	12569.44486
282	12543.88779
283	12524.64476
284	12516.01368
285	12485.73401
286	12470.30944
287	12447.73969
288	12436.99182
289	12412.67078
290	12402.91418
291	12388.88442
292	12362.67118
293	12337.8235
294	12311.76299
295	12294.56701
296	12272.62223
297	12252.15051
298	12232.10517
299	12205.60819
300	12182.37118
301	12164.69326
302	12149.70833
303	12129.52835
304	12107.60321
305	12089.76384
306	12064.66153
307	12053.18588
308	12033.80872
309	12013.25997
310	11989.1702
311	11967.43884
312	11954.09203
313	11935.98864
314	11917.22187
315	11900.75754
316	11893.06651
317	11868.11141
318	11849.39068
319	11833.371
320	11817.03895
321	11797.25479
322	11779.77675
323	11758.38933
324	11740.74647
325	11724.16342
326	11705.84348
327	11694.02525
328	11666.14703
329	11649.01949
330	11628.79866
