iter	RMSE
0	60450.65958
1	59768.1737
2	59049.00572
3	58339.48423
4	57654.593
5	57000.8934
6	56349.95032
7	55646.03946
8	55047.91675
9	54435.77274
10	53859.19301
11	53250.37509
12	52617.35196
13	52021.3337
14	51409.04354
15	50864.04953
16	50263.878
17	49660.85393
18	49129.28781
19	48619.53395
20	48099.75931
21	47583.67966
22	47110.00192
23	46652.37129
24	46184.80287
25	45676.01509
26	45221.30602
27	44744.75813
28	44311.01548
29	43853.03026
30	43348.5866
31	42884.08002
32	42430.63322
33	41998.0974
34	41590.37165
35	41210.91181
36	40830.46635
37	40476.86804
38	40090.03307
39	39748.58722
40	39383.75888
41	39005.56681
42	38599.40868
43	38231.39549
44	37893.37562
45	37525.98842
46	37192.49174
47	36874.46706
48	36573.79078
49	36241.20651
50	35905.01687
51	35604.00065
52	35261.70266
53	34988.73506
54	34660.23202
55	34331.06721
56	34020.7409
57	33732.60156
58	33441.74332
59	33172.82419
60	32875.63958
61	32618.28779
62	32354.91572
63	32082.0918
64	31840.99322
65	31593.92842
66	31338.88626
67	31101.11121
68	30831.90118
69	30614.74834
70	30384.21095
71	30159.15849
72	29963.29107
73	29760.38185
74	29546.41055
75	29333.81432
76	29133.45782
77	28944.52649
78	28741.00922
79	28540.58539
80	28356.103
81	28187.26425
82	28001.75337
83	27830.23229
84	27647.06129
85	27470.86606
86	27291.99964
87	27124.40106
88	26970.74955
89	26827.15443
90	26693.855
91	26542.39992
92	26383.92766
93	26230.75161
94	26072.13944
95	25907.57952
96	25767.8108
97	25627.56364
98	25464.0692
99	25346.48097
100	25200.45084
101	25062.35828
102	24935.81258
103	24806.29953
104	24694.56168
105	24573.56474
106	24468.43969
107	24348.55861
108	24237.73725
109	24134.11143
110	24023.74616
111	23910.10918
112	23789.35816
113	23684.01425
114	23571.70357
115	23458.96839
116	23350.62924
117	23248.10464
118	23140.4476
119	23046.89499
120	22949.54924
121	22845.69695
122	22766.82626
123	22679.71529
124	22581.42352
125	22499.13944
126	22408.53539
127	22303.44132
128	22218.23793
129	22131.47127
130	22036.33396
131	21952.30016
132	21852.3837
133	21767.76672
134	21689.82876
135	21606.06307
136	21537.40687
137	21444.64554
138	21373.05692
139	21292.26649
140	21222.75733
141	21153.31451
142	21078.54202
143	20999.65808
144	20923.96138
145	20849.44743
146	20783.37582
147	20728.78718
148	20658.74071
149	20589.28455
150	20528.89434
151	20459.99354
152	20391.03568
153	20341.76414
154	20284.27706
155	20229.06577
156	20166.92011
157	20113.40579
158	20060.06248
159	20010.41821
160	19951.87094
161	19888.63315
162	19822.95334
163	19769.87325
164	19706.3123
165	19655.09169
166	19604.67266
167	19554.90919
168	19507.18909
169	19448.45935
170	19397.53901
171	19341.12393
172	19289.39813
173	19236.19656
174	19191.09853
175	19152.41838
176	19108.92967
177	19067.94041
178	19025.97499
179	18984.60275
180	18946.48668
181	18904.30321
182	18864.45983
183	18816.68531
184	18784.74559
185	18742.46255
186	18702.34772
187	18651.81693
188	18612.86996
189	18579.44999
190	18537.23697
191	18497.32039
192	18458.80916
193	18416.7739
194	18365.70431
195	18324.19087
196	18284.67986
197	18240.38293
198	18202.7581
199	18172.15065
200	18133.45196
201	18087.77304
202	18052.38011
203	18016.51098
204	17992.03446
205	17958.16109
206	17916.92112
207	17882.72506
208	17849.9079
209	17814.35769
210	17779.7207
211	17753.4322
212	17723.30278
213	17694.02356
214	17662.22192
215	17623.43674
216	17590.13633
217	17560.57382
218	17533.29166
219	17509.85182
220	17481.56225
221	17450.61256
222	17417.73242
223	17387.35915
224	17349.14208
225	17318.8197
226	17288.88987
227	17257.16661
228	17236.20428
229	17210.50419
230	17175.20488
231	17149.34859
232	17113.91228
233	17079.28988
234	17053.37911
235	17032.57708
236	17002.79059
237	16974.43336
238	16953.50272
239	16933.69194
240	16913.86841
241	16889.06002
242	16870.3519
243	16846.04252
244	16822.47996
245	16787.27177
246	16764.6098
247	16741.2212
248	16714.41966
249	16680.22554
250	16662.07953
251	16635.86556
252	16617.2411
253	16591.34499
254	16569.4444
255	16551.11324
256	16530.98045
257	16501.66551
258	16483.0055
259	16460.64956
260	16433.9289
261	16416.45881
262	16393.10491
263	16375.19788
264	16355.82681
265	16336.64977
266	16306.78558
267	16286.58032
268	16259.93136
269	16237.34255
270	16221.66777
271	16207.09044
272	16186.62996
273	16154.47237
274	16117.95851
275	16101.71361
276	16083.52399
277	16067.21026
278	16051.9754
279	16033.71609
280	16013.63571
281	15994.03314
282	15978.88311
283	15955.98819
284	15928.48011
285	15905.80649
286	15889.64929
287	15869.84314
288	15848.50994
289	15830.01671
290	15808.06594
291	15786.61182
292	15769.0772
293	15745.72057
294	15731.73374
295	15701.60863
296	15678.18839
297	15663.5476
298	15651.72151
299	15635.84411
300	15622.76236
301	15607.03751
302	15593.13615
303	15579.12243
304	15562.80982
305	15550.14889
306	15530.95683
307	15509.43097
308	15494.26712
309	15474.95318
310	15461.1134
311	15447.8178
312	15434.0242
313	15406.4387
314	15391.82521
315	15373.37727
316	15361.32872
317	15348.89289
318	15339.16927
319	15320.78883
320	15303.77719
321	15283.88616
322	15267.0135
323	15253.63621
324	15241.52187
325	15223.82338
326	15207.44508
327	15191.09276
328	15174.12407
329	15151.08634
330	15135.43253
331	15110.9049
332	15093.93609
333	15082.28077
334	15073.13377
335	15058.06588
336	15040.69683
337	15024.29538
338	15009.64283
339	14993.57758
340	14977.92332
341	14968.87721
342	14948.14634
343	14938.29863
344	14925.17766
345	14912.96186
346	14902.07375
347	14882.65833
348	14865.97721
349	14853.01649
350	14838.42683
351	14822.55581
352	14804.46933
353	14795.41979
354	14775.47051
355	14762.7463
356	14748.16018
357	14735.63823
358	14719.25127
359	14706.93104
360	14683.62634
361	14667.72853
362	14650.02037
363	14633.76024
364	14620.26347
365	14602.26279
366	14590.8201
367	14577.94604
368	14563.27715
369	14550.7357
370	14537.78227
